index,bitstring,frequency,objective,is_feasible,assign_0,assign_1,assign_2,assign_3,capacity_0,capacity_1
204,111010100010,0.00078,32.0,False,False,True,False,False,True,True
205,101001010001,0.00077,22.0,True,True,True,True,True,True,True
206,100001010101,0.00077,15.0,False,True,True,False,True,True,True
207,100000010101,0.00077,12.0,False,True,False,False,True,True,True
208,101010011011,0.00077,25.0,False,False,False,True,True,True,True
209,010111101010,0.00077,27.0,False,True,False,True,True,True,True
210,111011001000,0.00077,27.0,False,False,False,True,False,True,True
211,100011110110,0.00077,29.0,False,False,True,True,True,True,False
212,110000011110,0.00076,19.0,False,True,True,False,True,True,True
213,101111010101,0.00076,31.0,False,False,True,True,False,True,True
214,011111001110,0.00076,26.0,False,True,False,True,True,True,True
215,010101001111,0.00076,13.0,False,False,False,False,True,True,True
216,000110100011,0.00076,17.0,False,True,False,True,True,True,True
217,111101010011,0.00076,32.0,False,True,False,True,False,False,True
218,110010111111,0.00076,33.0,False,False,True,True,True,True,True
219,011000110000,0.00076,30.0,False,False,True,False,True,True,True
220,100001011111,0.00076,15.0,False,True,True,False,True,True,True
221,010100011111,0.00076,18.0,False,False,True,False,False,True,True
222,001010001100,0.00076,13.0,False,True,False,True,False,True,True
223,000011110001,0.00076,25.0,False,True,True,True,True,True,False
224,010010010100,0.00075,21.0,False,True,True,False,True,True,True
225,101110111101,0.00075,36.0,False,False,False,False,False,True,True
226,101000011011,0.00075,19.0,False,True,False,True,True,True,True
227,011001010010,0.00075,25.0,False,False,False,True,True,True,True
228,100000101111,0.00075,12.0,False,True,False,True,False,True,True
229,001100111100,0.00074,26.0,False,False,False,False,False,True,True
230,000010111011,0.00074,22.0,False,True,False,True,True,True,True
231,101101011001,0.00074,25.0,False,True,True,True,False,True,True
232,110111100011,0.00074,31.0,False,False,False,True,True,True,True
233,110010000111,0.00074,17.0,False,False,True,False,False,True,True
234,010100010011,0.00074,18.0,False,False,True,False,False,True,True
235,110111001010,0.00074,23.0,False,False,False,False,True,True,True
236,010000110111,0.00074,23.0,False,False,True,True,True,True,True
237,010000110100,0.00074,23.0,False,False,True,True,True,True,True
238,101010111100,0.00073,33.0,False,False,False,False,True,True,True
239,111011011011,0.00073,35.0,False,False,False,True,True,True,True
240,101010011100,0.00073,25.0,False,False,False,True,True,True,True
241,111010101011,0.00073,32.0,False,False,True,False,False,True,True
242,100011100101,0.00073,21.0,False,False,True,True,False,True,True
243,101101010111,0.00073,25.0,False,True,True,True,False,True,True
244,101001110010,0.00073,30.0,False,True,True,False,True,True,True
245,111001011010,0.00073,29.0,False,True,False,True,True,True,True
246,011110100000,0.00072,31.0,False,True,True,False,True,True,True
247,010101000000,0.00072,13.0,False,False,False,False,True,True,True
248,100001010100,0.00072,15.0,False,True,True,False,True,True,True
249,110010011011,0.00072,25.0,False,False,True,False,True,True,True
250,000101001111,0.00072,6.0,False,False,True,False,True,True,True
251,010101011100,0.00072,21.0,False,False,False,False,False,True,True
252,000010110111,0.00072,22.0,False,True,False,True,True,True,True
253,011001000001,0.00071,17.0,False,False,False,True,False,True,True
254,010111101000,0.00071,27.0,False,True,False,True,True,True,True
255,100110001000,0.00071,13.0,False,False,False,False,True,True,True
256,010001010010,0.00071,18.0,False,False,False,False,True,True,True
257,000101000111,0.00071,6.0,False,False,True,False,True,True,True
258,000001110011,0.00071,19.0,False,False,True,True,True,True,True
259,100000111101,0.00071,20.0,False,True,False,True,True,True,True
260,111101010111,0.00071,32.0,False,True,False,True,False,False,True
